Time,Епіцентр К,Фокстрот,OLX,Prom.ua,Розетка
2004-01-01,0.0,7.5,0.0,0.0,0.0
2004-02-01,0.0,5.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0
2004-04-01,0.0,4.25,0.0,0.0,0.0
2004-05-01,0.0,5.5,0.0,0.0,0.0
2004-06-01,0.0,7.75,0.0,0.0,0.0
2004-07-01,0.0,9.5,0.0,0.0,0.0
2004-08-01,0.0,7.25,0.0,0.0,0.0
2004-09-01,3.5,5.5,0.0,0.0,0.0
2004-10-01,0.0,6.0,0.0,0.0,0.0
2004-11-01,3.5,7.5,0.0,0.0,0.0
2004-12-01,0.0,10.25,0.0,0.0,0.0
2005-01-01,0.0,6.5,0.0,0.0,0.0
2005-02-01,0.0,7.5,0.0,2.5,0.0
2005-03-01,3.0,7.75,0.0,0.0,0.0
2005-04-01,2.5,7.25,0.0,0.0,0.0
2005-05-01,3.5,7.0,0.0,0.0,0.0
2005-06-01,4.5,8.5,0.0,0.0,0.0
2005-07-01,5.0,8.25,0.0,0.0,0.0
2005-08-01,6.5,11.5,0.0,0.0,0.0
2005-09-01,4.0,11.0,0.0,0.0,0.0
2005-10-01,4.0,8.75,0.0,0.0,0.0
2005-11-01,4.0,7.75,0.0,0.0,0.0
2005-12-01,3.5,15.25,0.0,0.0,0.0
2006-01-01,5.5,9.25,0.0,0.0,0.0
2006-02-01,5.5,7.75,0.0,0.0,0.0
2006-03-01,3.5,5.5,0.0,0.0,0.0
2006-04-01,3.5,6.25,0.0,0.0,0.0
2006-05-01,5.5,7.75,0.0,0.0,0.0
2006-06-01,6.0,9.25,0.0,0.0,0.0
2006-07-01,6.5,7.75,0.0,0.0,0.0
2006-08-01,6.0,13.0,0.0,0.0,0.0
2006-09-01,6.5,11.75,0.0,0.0,1.0
2006-10-01,7.0,11.25,0.0,0.0,0.0
2006-11-01,5.5,13.0,0.0,0.0,0.0
2006-12-01,5.5,15.75,0.0,0.0,1.0
2007-01-01,5.5,9.75,0.0,0.0,2.0
