Time,Year,Month,Епіцентр К,Фокстрот,OLX,Prom.ua,Розетка,USD
2004-01,2004,1,0,1500000,0,0,0,5.3341
2004-02,2004,2,0,1000000,0,0,0,5.3353
2004-03,2004,3,0,0,0,0,0,5.3365
2004-04,2004,4,0,850000,0,0,0,5.3352
2004-05,2004,5,0,1100000,0,0,0,5.3336
2004-06,2004,6,0,1550000,0,0,0,5.3285
2004-07,2004,7,0,1900000,0,0,0,5.3235
2004-08,2004,8,0,1450000,0,0,0,5.3182
2004-09,2004,9,700000,1100000,0,0,0,5.3095
2004-10,2004,10,0,1200000,0,0,0,5.3151
2004-11,2004,11,700000,1500000,0,0,0,5.3205
2004-12,2004,12,0,2050000,0,0,0,5.3190
2005-01,2005,1,0,1300000,0,0,0,5.3200
2005-02,2005,2,0,1500000,0,500000,0,5.3100
2005-03,2005,3,600000,1550000,0,0,0,5.3095
2005-04,2005,4,500000,1450000,0,0,0,5.2845
2005-05,2005,5,700000,1400000,0,0,0,5.2829
2005-06,2005,6,900000,1700000,0,0,0,5.0125
2005-07,2005,7,1000000,1650000,0,0,0,5.0850
2005-08,2005,8,1300000,2300000,0,0,0,5.0125
2005-09,2005,9,800000,2200000,0,0,0,5.0085
2005-10,2005,10,800000,1750000,0,0,0,4.9850
2005-11,2005,11,800000,1550000,0,0,0,5.0500
2005-12,2005,12,700000,3050000,0,0,0,5.0205
2006-01,2006,1,1100000,1850000,0,0,0,5.0430
2006-02,2006,2,1100000,1550000,0,0,0,5.0485
2006-03,2006,3,700000,1100000,0,0,0,5.0598
2006-04,2006,4,700000,1250000,0,0,0,5.0615
2006-05,2006,5,1100000,1550000,0,0,0,5.0610
2006-06,2006,6,1200000,1850000,0,0,0,5.0150
2006-07,2006,7,1300000,1550000,0,0,0,5.0150
2006-08,2006,8,1200000,2600000,0,0,0,5.0025
2006-09,2006,9,1300000,2350000,0,0,200000,5.0425
2006-10,2006,10,1400000,2250000,0,0,0,5.0275
2006-11,2006,11,1100000,2600000,0,0,0,5.0455
2006-12,2006,12,1100000,3150000,0,0,200000,5.0375
2007-01,2007,1,1100000,1950000,0,0,400000,5.0537
2007-02,2007,2,1100000,2100000,0,100000,200000,5.0515
2007-03,2007,3,1100000,2200000,0,150000,400000,5.0550
2007-04,2007,4,1300000,1650000,0,0,600000,5.0507
2007-05,2007,5,1500000,1950000,0,100000,400000,5.0385
2007-06,2007,6,1700000,1850000,0,100000,800000,5.0115
2007-07,2007,7,2000000,2150000,0,0,600000,5.0335
2007-08,2007,8,1800000,2400000,0,150000,800000,5.0100
2007-09,2007,9,1500000,2200000,0,0,1000000,5.0025
2007-10,2007,10,1400000,2050000,0,0,1000000,5.0305
2007-11,2007,11,1600000,2300000,0,150000,1000000,5.0250
2007-12,2007,12,1400000,3300000,0,100000,1200000,5.0570
2008-01,2008,1,1300000,2000000,0,50000,1200000,5.0665
2008-02,2008,2,1400000,1750000,0,100000,1200000,5.0500
2008-03,2008,3,1300000,1950000,0,100000,1400000,5.0620
2008-04,2008,4,1500000,1650000,0,150000,1400000,5.0500
2008-05,2008,5,1600000,1600000,0,100000,1600000,4.9950
2008-06,2008,6,1500000,1750000,0,100000,1600000,4.8500
2008-07,2008,7,1800000,2100000,0,100000,1600000,4.7650
2008-08,2008,8,1900000,2050000,0,50000,2000000,4.5663
2008-09,2008,9,1500000,2000000,0,100000,2000000,4.6675
2008-10,2008,10,1300000,1800000,0,100000,2200000,4.6715
2008-11,2008,11,1400000,1650000,0,50000,2200000,5.0750
2008-12,2008,12,1400000,2600000,0,50000,2400000,5.9200
2009-01,2009,1,1200000,1650000,0,50000,2200000,7.5200
2009-02,2009,2,1300000,1400000,0,100000,2200000,8.0500
2009-03,2009,3,1200000,1400000,0,50000,2800000,7.6850
2009-04,2009,4,1300000,1250000,0,50000,2600000,8.5600
2009-05,2009,5,1400000,1300000,0,50000,2200000,8.0500
2009-06,2009,6,1500000,1650000,0,50000,2800000,7.9500
2009-07,2009,7,1500000,1700000,0,100000,3000000,7.6500
