Time,Розетка
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.01
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.01
2007-01-01,0.04
2007-02-01,0.01
2007-03-01,0.04
2007-04-01,0.09
2007-05-01,0.04
2007-06-01,0.16
2007-07-01,0.09
2007-08-01,0.16
2007-09-01,0.25
2007-10-01,0.25
2007-11-01,0.25
2007-12-01,0.36
2008-01-01,0.36
2008-02-01,0.36
2008-03-01,0.49000000000000005
2008-04-01,0.49000000000000005
2008-05-01,0.64
2008-06-01,0.64
2008-07-01,0.64
2008-08-01,1.0
2008-09-01,1.0
2008-10-01,1.21
2008-11-01,1.21
2008-12-01,1.44
2009-01-01,1.21
2009-02-01,1.21
2009-03-01,1.9600000000000002
2009-04-01,1.69
2009-05-01,1.21
2009-06-01,1.9600000000000002
2009-07-01,2.25
2009-08-01,2.56
2009-09-01,2.89
2009-10-01,2.89
2009-11-01,3.61
2009-12-01,8.41
2010-01-01,5.76
2010-02-01,5.76
2010-03-01,6.25
2010-04-01,5.76
2010-05-01,6.25
2010-06-01,8.41
2010-07-01,10.24
2010-08-01,13.69
2010-09-01,15.21
2010-10-01,16.81
2010-11-01,19.36
2010-12-01,31.360000000000003
2011-01-01,29.160000000000004
2011-02-01,28.09
2011-03-01,25.0
2011-04-01,27.04
2011-05-01,24.009999999999998
2011-06-01,26.01
2011-07-01,37.21
2011-08-01,46.24
2011-09-01,53.29
2011-10-01,49.0
2011-11-01,50.41
2011-12-01,77.44
2012-01-01,56.25
2012-02-01,53.29
2012-03-01,51.839999999999996
2012-04-01,43.56
2012-05-01,32.489999999999995
2012-06-01,36.0
2012-07-01,47.61
2012-08-01,49.0
2012-09-01,53.29
2012-10-01,47.61
2012-11-01,59.29
2012-12-01,82.81
2013-01-01,68.89
2013-02-01,62.410000000000004
2013-03-01,51.839999999999996
2013-04-01,43.56
2013-05-01,39.69
2013-06-01,53.29
2013-07-01,59.29
2013-08-01,64.0
2013-09-01,68.89
2013-10-01,68.89
2013-11-01,65.61
2013-12-01,100.0
2014-01-01,70.56
2014-02-01,47.61
2014-03-01,37.21
2014-04-01,40.96
2014-05-01,37.21
2014-06-01,43.56
2014-07-01,39.69
2014-08-01,53.29
2014-09-01,56.25
2014-10-01,49.0
2014-11-01,59.29
2014-12-01,75.69
2015-01-01,47.61
2015-02-01,44.89
2015-03-01,32.489999999999995
2015-04-01,28.09
2015-05-01,28.09
2015-06-01,32.489999999999995
2015-07-01,39.69
2015-08-01,43.56
2015-09-01,39.69
2015-10-01,38.44
2015-11-01,46.24
2015-12-01,64.0
2016-01-01,29.160000000000004
2016-02-01,21.16
2016-03-01,19.36
2016-04-01,15.21
2016-05-01,16.0
2016-06-01,21.16
2016-07-01,22.09
2016-08-01,25.0
2016-09-01,22.09
2016-10-01,23.04
2016-11-01,32.489999999999995
2016-12-01,36.0
2017-01-01,23.04
2017-02-01,18.49
2017-03-01,16.81
2017-04-01,15.21
2017-05-01,14.44
2017-06-01,17.64
2017-07-01,20.25
2017-08-01,22.09
2017-09-01,23.04
2017-10-01,24.009999999999998
2017-11-01,32.489999999999995
2017-12-01,39.69
2018-01-01,26.01
2018-02-01,22.09
2018-03-01,19.36
2018-04-01,16.0
2018-05-01,18.49
2018-06-01,17.64
2018-07-01,19.36
2018-08-01,21.16
2018-09-01,18.49
2018-10-01,16.81
2018-11-01,31.360000000000003
2018-12-01,30.250000000000004
2019-01-01,22.09
2019-02-01,16.0
2019-03-01,13.69
2019-04-01,12.25
2019-05-01,12.959999999999999
2019-06-01,15.21
2019-07-01,14.44
2019-08-01,15.21
2019-09-01,14.44
2019-10-01,14.44
2019-11-01,26.01
2019-12-01,24.009999999999998
2020-01-01,13.69
2020-02-01,11.56
2020-03-01,14.44
2020-04-01,21.16
2020-05-01,16.81
2020-06-01,18.49
2020-07-01,16.81
2020-08-01,16.81
2020-09-01,16.81
2020-10-01,15.21
2020-11-01,30.250000000000004
2020-12-01,30.250000000000004
2021-01-01,17.64
2021-02-01,16.0
2021-03-01,12.959999999999999
2021-04-01,13.69
2021-05-01,10.89
2021-06-01,14.44
2021-07-01,12.25
2021-08-01,11.56
2021-09-01,7.290000000000001
2021-10-01,3.61
2021-11-01,0.04
2021-12-01,16.81
2022-01-01,12.959999999999999
2022-02-01,10.89
2022-03-01,4.41
2022-04-01,9.0
2022-05-01,10.89
2022-06-01,1.44
2022-07-01,0.04
2022-08-01,0.04
2022-09-01,0.01
2022-10-01,0.01
2022-11-01,0.01
2022-12-01,0.04
2023-01-01,0.01
2023-02-01,0.01
2023-03-01,0.01
2023-04-01,0.01
2023-05-01,0.01
2023-06-01,0.04
2023-07-01,0.04
2023-08-01,0.04
2023-09-01,0.04
2023-10-01,0.01
2023-11-01,0.04
2023-12-01,3.61
2024-01-01,16.81
2024-02-01,12.959999999999999
2024-03-01,0.25
2024-04-01,0.04
2024-05-01,0.01
2024-06-01,0.04
2024-07-01,0.16
2024-08-01,0.04
2024-09-01,0.04
2024-10-01,0.04
2024-11-01,0.04
2024-12-01,0.09
2025-01-01,0.04
2025-02-01,0.25
2025-03-01,0.09
2025-04-01,0.09
2025-05-01,0.04
2025-06-01,0.09
2025-07-01,0.09
2025-08-01,0.09
2025-09-01,0.04
2025-10-01,0.09
2025-11-01,0.09
2025-12-01,0.09
2026-01-01,0.09
2026-02-01,0.04
2026-03-01,0.16
